,UniqueKey,index,CreatedDate,ClosedDate,Agency,AgencyName,ComplaintType,Descriptor,LocationType,IncidentZip,IncidentAddress,StreetName,CrossStreet1,CrossStreet2,IntersectionStreet1,IntersectionStreet2,AddressType,City,Landmark,FacilityType,Status,DueDate,ResolutionDescription,ResolutionActionUpdatedDate,CommunityBoard,Borough,XCoordinate(StatePlane),YCoordinate(StatePlane),ParkBorough,SchoolNotFound,Latitude,Longitude,Location
0,28735620,250,08/22/2014 08:41:00 AM,08/22/2014 09:25:00 AM,DEP,Department of Environmental Protection,Asbestos,Asbestos Complaint (B1),,10001.0,124 WEST   25 STREET,WEST   25 STREET,AVENUE OF THE AMERICAS,7 AVE,,,ADDRESS,NEW YORK,,,Closed,,The Department of Environmental Protection investigated this complaint and found that no asbestos was disturbed.,08/22/2014 09:25:00 AM,04 MANHATTAN,MANHATTAN,"986,249","210,541",MANHATTAN,,40.74456277751842,-73.99278588026459,"(40.74456277751842, -73.9927858802646)"
1,28800482,4164,09/02/2014 11:40:00 AM,09/03/2014 01:00:00 PM,DEP,Department of Environmental Protection,Water System,Excessive Water In Basement (WEFB),,10001.0,245 7 AVENUE,7 AVENUE,W 24 ST,W 25 ST,,,ADDRESS,NEW YORK,,,Closed,,The Department of Environmental Protection investigated this complaint and repaired or replaced the hydrant.,09/03/2014 01:00:00 PM,04 MANHATTAN,MANHATTAN,"985,604","210,628",MANHATTAN,,40.74480169302478,-73.99511358021783,"(40.74480169302478, -73.99511358021783)"
2,29223381,9516,11/04/2014 10:55:00 AM,11/04/2014 01:15:00 PM,DEP,Department of Environmental Protection,Asbestos,Asbestos Complaint (B1),,10011.0,142 WEST   24 STREET,WEST   24 STREET,AVENUE OF THE AMERICAS,7 AVE,,,ADDRESS,NEW YORK,,,Closed,,The Department of Environmental Protection (DEP) has investigated this complaint. This is an active asbestos abatement project that has been filed with DEP. The work is in compliance with all of DEP's rules and regulations and therefore no violation was issued.,11/04/2014 01:15:00 PM,04 MANHATTAN,MANHATTAN,"986,023","210,372",MANHATTAN,,40.744098962985184,-73.99360152814282,"(40.74409896298519, -73.99360152814282)"
3,29226377,9672,11/05/2014 12:28:00 PM,11/05/2014 01:10:00 PM,DEP,Department of Environmental Protection,Asbestos,Asbestos Complaint (B1),,10011.0,142 WEST   24 STREET,WEST   24 STREET,AVENUE OF THE AMERICAS,7 AVE,,,ADDRESS,NEW YORK,,,Closed,,The Department of Environmental Protection (DEP) has investigated this complaint. This is an active asbestos abatement project that has been filed with DEP. The work is in compliance with all of DEP's rules and regulations and therefore no violation was issued.,11/05/2014 01:10:00 PM,04 MANHATTAN,MANHATTAN,"986,023","210,372",MANHATTAN,,40.744098962985184,-73.99360152814282,"(40.74409896298519, -73.99360152814282)"
4,29236708,10215,11/06/2014 10:37:00 AM,11/10/2014 05:00:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Construction Equipment (NC1),,10001.0,,,W 24 ST,7 AVE,WEST 24 STREET,7 AVENUE,INTERSECTION,NEW YORK,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",11/10/2014 05:00:00 PM,04 MANHATTAN,MANHATTAN,"985,593","210,613",MANHATTAN,,40.74476052345636,-73.99515328086255,"(40.74476052345636, -73.99515328086254)"
5,29242356,10440,11/07/2014 12:24:00 PM,11/13/2014 04:00:00 PM,DEP,Department of Environmental Protection,Air Quality,"Air: Dust, Construction/Demolition (AE4)",,10001.0,,,W 25 ST,7 AVE,WEST 25 STREET,7 AVENUE,INTERSECTION,NEW YORK,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",11/13/2014 04:00:00 PM,04 MANHATTAN,MANHATTAN,"985,716","210,840",MANHATTAN,,40.7453835620819,-73.99470933975887,"(40.7453835620819, -73.99470933975887)"
6,29293235,12955,11/14/2014 07:01:00 AM,11/17/2014 11:30:00 AM,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,10010.0,,,W 24 ST,6 AVE,WEST 24 STREET,6 AVENUE,INTERSECTION,NEW YORK,,,Closed,,"The Department of Environmental Protection inspected your complaint and cleaned the catch basin or inlet. If the condition returns, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",11/17/2014 11:30:00 AM,04 MANHATTAN,MANHATTAN,"986,378","210,179",MANHATTAN,,40.74356914792079,-73.9923204513036,"(40.74356914792079, -73.9923204513036)"
7,34508350,40412,10/10/2016 08:17:38 AM,10/10/2016 09:54:37 AM,NYPD,New York City Police Department,Homeless Encampment,,Street/Sidewalk,10011.0,107 WEST 24 STREET,WEST 24 STREET,AVENUE OF THE AMERICAS,7 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,10/10/2016 04:17:38 PM,The Police Department responded to the complaint and took action to fix the condition.,10/10/2016 09:54:37 AM,04 MANHATTAN,MANHATTAN,"986,228","210,265",MANHATTAN,N,40.74380523125508,-73.99286174758187,"(40.74380523125508, -73.99286174758188)"
8,16901981,41083,06/19/2010 04:45:00 PM,06/20/2010 01:11:00 AM,DEP,Department of Environmental Protection,Water System,Hydrant Running Full (WA4),,10010.0,,,W 24 ST,6 AVE,WEST 24 STREET,6 AVENUE,INTERSECTION,NEW YORK,,,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,06/20/2010 01:11:00 AM,04 MANHATTAN,MANHATTAN,"986,378","210,179",MANHATTAN,,40.74356914792079,-73.9923204513036,"(40.74356914792079, -73.9923204513036)"
9,36650337,46343,07/08/2017 05:18:24 PM,07/08/2017 06:44:12 PM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10011.0,157 WEST 24 STREET,WEST 24 STREET,AVENUE OF THE AMERICAS,7 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,07/09/2017 01:18:24 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/08/2017 06:44:12 PM,04 MANHATTAN,MANHATTAN,"985,948","210,420",MANHATTAN,N,40.744230725701684,-73.9938721789622,"(40.74423072570168, -73.9938721789622)"
